nr_doubly,number_citations,paper_id,booktitle,pdf_url
0,-1,conf_icse_XuanJRZ12,ICSE,NOURLFOUND
2,-1,conf_icse_ChenHLLTWW16,ICSE,NOURLFOUND
0,-1,conf_icse_BersaniBGKP16,ICSE,NOURLFOUND
0,-1,conf_icse_KuhrmannFM04,ICSE,NOURLFOUND
2,-1,conf_icse_RayHGTBD16,ICSE,NOURLFOUND
0,-1,conf_icse_NguyenPVN16,ICSE,NOURLFOUND
0,-1,conf_icse_JurgensDHW09,ICSE,NOURLFOUND
0,-1,conf_icse_RobillarddDV98,ICSE,NOURLFOUND
1,-1,conf_icse_MedeirosKRGA16,ICSE,NOURLFOUND
0,-1,conf_icse_WagnerLHKTPSGS12,ICSE,NOURLFOUND
0,-1,conf_icse_PretschnerPWKBSZS05,ICSE,NOURLFOUND
0,-1,conf_icse_LenceviciusMR02,ICSE,NOURLFOUND
0,-1,conf_icse_DesaiGHJKMRR16,ICSE,NOURLFOUND
