nr_doubly,number_citations,paper_id,booktitle,pdf_url
3,-1,conf_icwsm_LiuPF10,ICWSM,NOURLFOUND
0,-1,conf_icwsm_LinBL11,ICWSM,NOURLFOUND
1,-1,conf_icwsm_MalmiW16,ICWSM,NOURLFOUND
2,-1,conf_icwsm_HoggL10,ICWSM,NOURLFOUND
1,-1,conf_icwsm_VosoughiR16a,ICWSM,NOURLFOUND
2,-1,conf_icwsm_AnW16,ICWSM,NOURLFOUND
0,-1,conf_icwsm_Coscia13,ICWSM,NOURLFOUND
0,-1,conf_icwsm_ShulmanSC16,ICWSM,NOURLFOUND
0,-1,conf_icwsm_WengMA14,ICWSM,NOURLFOUND
2,-1,conf_icwsm_ColettoALS16,ICWSM,NOURLFOUND
1,-1,conf_icwsm_QuerciaAS16,ICWSM,NOURLFOUND
2,-1,conf_icwsm_BandariAH12,ICWSM,NOURLFOUND
0,-1,conf_icwsm_YeKA16,ICWSM,NOURLFOUND
3,-1,conf_icwsm_ChengDL15,ICWSM,NOURLFOUND
2,-1,conf_icwsm_0004MT15,ICWSM,NOURLFOUND
0,-1,conf_icwsm_Lerman07,ICWSM,NOURLFOUND
0,-1,conf_icwsm_ParkWNV15,ICWSM,NOURLFOUND
0,-1,conf_icwsm_GueriniSO11,ICWSM,NOURLFOUND
3,-1,conf_icwsm_ChengDL14,ICWSM,NOURLFOUND
1,-1,conf_icwsm_RomeroTU13,ICWSM,NOURLFOUND
5,-1,conf_icwsm_KulshresthaZNGG15,ICWSM,NOURLFOUND
0,-1,conf_icwsm_SharmaGC13,ICWSM,NOURLFOUND
1,-1,conf_icwsm_SilvaMCBW16,ICWSM,NOURLFOUND
2,-1,conf_icwsm_RomeroHK15,ICWSM,NOURLFOUND
2,-1,conf_icwsm_HuXLN16,ICWSM,NOURLFOUND
0,-1,conf_icwsm_GrabowiczBKW16,ICWSM,NOURLFOUND
2,-1,conf_icwsm_ParkNB16,ICWSM,NOURLFOUND
2,-1,conf_icwsm_LimaRM14,ICWSM,NOURLFOUND
1,-1,conf_icwsm_ShiTA09,ICWSM,NOURLFOUND
1,-1,conf_icwsm_KootiHL14,ICWSM,NOURLFOUND
1,-1,conf_icwsm_RotabiK16,ICWSM,NOURLFOUND
0,-1,conf_icwsm_VijayaraghavanV16,ICWSM,NOURLFOUND
1,-1,conf_icwsm_RieisSMPKA15,ICWSM,NOURLFOUND
0,-1,conf_icwsm_QuerciaSAM15,ICWSM,NOURLFOUND
0,-1,conf_icwsm_SteegGL11,ICWSM,NOURLFOUND
1,-1,conf_icwsm_HodasKL13,ICWSM,NOURLFOUND
1,-1,conf_icwsm_HillMO10,ICWSM,NOURLFOUND
1,-1,conf_icwsm_LermanJ07,ICWSM,NOURLFOUND
1,-1,conf_icwsm_BandariRR13,ICWSM,NOURLFOUND
3,-1,conf_icwsm_HoggL09,ICWSM,NOURLFOUND
3,-1,conf_icwsm_MerrittJMC13,ICWSM,NOURLFOUND
1,-1,conf_icwsm_OCallaghanHCC12,ICWSM,NOURLFOUND
6,-1,conf_icwsm_BeigiTL16,ICWSM,NOURLFOUND
2,-1,conf_icwsm_MejovaAH16,ICWSM,NOURLFOUND
0,-1,conf_icwsm_LermanAGKG16,ICWSM,NOURLFOUND
