nr_doubly,number_citations,paper_id,booktitle,pdf_url
4,375,conf_trec_BrillLBDN01,TREC,http://trec.nist.gov/pubs/trec10/papers/Trec2001Notebook.AskMSRFinal.pdf
7,55,conf_trec_McCreadieMOPS09,TREC,http://trec.nist.gov/pubs/trec18/papers/uglasgow.BLOG.ENT.MQ.RF.WEB.pdf
6,47,conf_trec_CohenBH04,TREC,http://trec.nist.gov/pubs/trec13/papers/ohsu-hersh.geo.pdf
4,45,conf_trec_YangYVZ06,TREC,http://trec.nist.gov/pubs/trec15/papers/indianau.blog.final.pdf
4,43,conf_trec_MonzR01,TREC,http://trec.nist.gov/pubs/trec10/papers/trec10-Monz-deRijke.pdf
10,38,conf_trec_LupuPHZT09,TREC,http://trec.nist.gov/pubs/trec18/papers/CHEM09.OVERVIEW.pdf
4,37,conf_trec_SeoC08,TREC,http://trec.nist.gov/pubs/trec17/papers/umass.blog.pdf
5,33,conf_trec_AljlaylBJCHLGF01,TREC,http://trec.nist.gov/pubs/trec10/papers/IIT-TREC10.pdf
9,27,conf_trec_BellotCEGL02,TREC,http://trec.nist.gov/pubs/trec11/papers/lia.sinequa.pdf
7,20,conf_trec_BlottCFGGJMOSWBS04,TREC,http://trec.nist.gov/pubs/trec13/papers/dcu.tera.geo.novelty.pdf
4,17,conf_trec_SerdyukovV09,TREC,http://trec.nist.gov/pubs/trec18/papers/delft.ENT.pdf
5,17,conf_trec_BruijnM03,TREC,http://trec.nist.gov/pubs/trec12/papers/nrc.genomics.pdf
4,17,conf_trec_GoldbergAGSZC06,TREC,http://trec.nist.gov/pubs/trec15/papers/uwisconsin.geo.final.pdf
6,17,conf_trec_CohenYH05,TREC,http://trec.nist.gov/pubs/trec14/papers/ohsu-geo.pdf
7,14,conf_trec_AronsonHIKLMSTWXDL04,TREC,http://trec.nist.gov/pubs/trec13/papers/nlm-umd-ul.geo.pdf
5,13,conf_trec_ZhouY07,TREC,http://trec.nist.gov/pubs/trec16/papers/uic-zhou.geo.final.pdf
5,12,conf_trec_ParanjpeRS03,TREC,http://trec.nist.gov/pubs/trec12/papers/iit.qa.pdf
4,9,conf_trec_GobeillGRPTV10,TREC,http://trec.nist.gov/pubs/trec19/papers/univ.geneva.chem.rev.pdf
6,7,conf_trec_ZhaoYSY14,TREC,http://trec.nist.gov/pubs/trec23/papers/pro-BJUT_ts.pdf
10,5,conf_trec_YuAGLNNSTWZB05,TREC,http://trec.nist.gov/pubs/trec14/papers/arizonasu.geo.pdf
5,5,conf_trec_VydiswaranGLHZ09,TREC,http://trec.nist.gov/pubs/trec18/papers/uiuc.ENT.pdf
4,5,conf_trec_CetintasS09,TREC,http://trec.nist.gov/pubs/trec18/papers/purdue.CHEM.pdf
5,3,conf_trec_AttardiEP04,TREC,http://trec.nist.gov/pubs/trec13/papers/upisa-tera.pdf
5,2,conf_trec_LoseySR15,TREC,http://trec.nist.gov/pubs/trec24/papers/eDiscoveryTeam-TR.pdf
4,1,conf_trec_LiuWHZ07,TREC,http://trec.nist.gov/pubs/trec16/papers/cas.blog.final.pdf
4,1,conf_trec_MouldingSK09,TREC,http://trec.nist.gov/pubs/trec18/papers/ursinus.LEGAL.pdf
4,1,conf_trec_AlmquistHSAS07,TREC,http://trec.nist.gov/pubs/trec16/papers/uiowa.legal.ent.final.pdf
4,1,conf_trec_SinclairW04,TREC,http://trec.nist.gov/pubs/trec13/papers/uedinburgh-sinclair.geo.pdf
4,0,conf_trec_NewbyFM09,TREC,http://trec.nist.gov/pubs/trec18/papers/arsc.WEB.pdf
7,0,conf_trec_ZhangST08,TREC,http://trec.nist.gov/pubs/trec17/papers/rmit.legal.pdf
