nr_doubly,number_citations,paper_id,booktitle,pdf_url
4,2002,conf_vldb_WeberSB98,VLDB,http://www.vldb.org/conf/1998/p194.pdf
10,894,conf_vldb_AltinelF00,VLDB,http://www.vldb.org/conf/2000/P053.pdf
4,565,conf_vldb_KacholiaPCSDK05,VLDB,http://www.vldb2005.org/program/paper/wed/p505-kacholia.pdf
4,293,conf_vldb_SakuraiYUK00,VLDB,http://www.vldb.org/conf/2000/P516.pdf
4,275,conf_vldb_AgrawalSX01,VLDB,http://www.vldb.org/conf/2001/P149.pdf
4,256,conf_vldb_ChaudhuriN07,VLDB,http://www.vldb.org/conf/2007/papers/special/p3-chaudhuri.pdf
5,191,conf_vldb_ChengYC07,VLDB,http://www.vldb.org/conf/2007/papers/research/p387-cheng.pdf
6,170,conf_vldb_ChenGK05,VLDB,http://www.vldb2005.org/program/paper/wed/p493-chen.pdf
5,151,conf_vldb_KwonRML05,VLDB,http://www.vldb2005.org/program/paper/tue/p217-kwon.pdf
5,141,conf_vldb_DongHY07,VLDB,http://www.vldb.org/conf/2007/papers/research/p687-dong.pdf
10,140,conf_vldb_ChakrabartiRS02,VLDB,http://www.vldb.org/conf/2002/S19P01.pdf
6,139,conf_vldb_DiaoF03,VLDB,http://www.vldb.org/conf/2003/papers/S09P02.pdf
4,129,conf_vldb_LuoN01,VLDB,http://www.vldb.org/conf/2001/P191.pdf
4,119,conf_vldb_BexNV07,VLDB,http://www.vldb.org/conf/2007/papers/research/p998-bex.pdf
9,100,conf_vldb_DeRoseSCDR07,VLDB,http://www.vldb.org/conf/2007/papers/research/p399-derose.pdf
6,96,conf_vldb_LabioYCGW00,VLDB,http://www.vldb.org/conf/2000/P461.pdf
4,94,conf_vldb_WaasCB01,VLDB,http://www.vldb.org/conf/2001/P201.pdf
4,90,conf_vldb_ShenZHSZ07,VLDB,http://www.vldb.org/conf/2007/papers/demo/p1374-shen.pdf
5,64,conf_vldb_DyresonBJ99,VLDB,http://www.vldb.org/conf/1999/P30.pdf
9,49,conf_vldb_BernsteinPS99,VLDB,http://www.vldb.org/conf/1999/P33.pdf
8,45,conf_vldb_ShaoGBBCYS07,VLDB,http://www.vldb.org/conf/2007/papers/research/p1057-shao.pdf
6,43,conf_vldb_OzsuVU98,VLDB,http://www.vldb.org/conf/1998/p440.pdf
5,40,conf_vldb_RezendeH98,VLDB,http://www.vldb.org/conf/1998/p146.pdf
5,38,conf_vldb_LinR98,VLDB,http://www.vldb.org/conf/1998/p170.pdf
4,36,conf_vldb_SubramanianBLLSSTYW07,VLDB,http://www.vldb.org/conf/2007/papers/industrial/p1173-witkowski.pdf
5,25,conf_vldb_ErcegovacDR05,VLDB,http://www.vldb2005.org/program/paper/wed/p313-ercegovac.pdf
4,20,conf_vldb_ChakrabartiSST00,VLDB,http://www.vldb.org/conf/2000/P603.pdf
4,18,conf_vldb_BamfordAP99,VLDB,http://www.vldb.org/conf/1999/P18.pdf
7,5,conf_vldb_NinkHR99,VLDB,http://www.vldb.org/conf/1999/P54.pdf
4,3,conf_vldb_PapadomanolakisDA07,VLDB,http://www.vldb.org/conf/2007/papers/research/p1093-papadomanolakis.pdf
