nr_doubly,number_citations,paper_id,booktitle,pdf_url
4,-1,conf_www_YuHYVD15,WWW,NOURLFOUND
0,-1,conf_www_QuattronePQCM16,WWW,NOURLFOUND
0,-1,conf_www_MyersL14,WWW,NOURLFOUND
1,-1,conf_www_KayesKQIB15,WWW,NOURLFOUND
0,-1,conf_www_SariyuceSPC15,WWW,NOURLFOUND
2,-1,conf_www_Vigna15,WWW,NOURLFOUND
1,-1,conf_www_ImmorlicaSS15,WWW,NOURLFOUND
2,-1,conf_www_LiDGMS15,WWW,NOURLFOUND
5,-1,conf_www_TitovM08,WWW,NOURLFOUND
1,-1,conf_www_TsiatasSNA13,WWW,NOURLFOUND
1,-1,conf_www_LemePV16,WWW,NOURLFOUND
0,-1,conf_www_WagnerSSH14,WWW,NOURLFOUND
3,-1,conf_www_MarcielCBGTAA16,WWW,NOURLFOUND
0,-1,conf_www_LehmannGRC12,WWW,NOURLFOUND
1,-1,conf_www_GhoshM12,WWW,NOURLFOUND
0,-1,conf_www_MaloneM12,WWW,NOURLFOUND
2,-1,conf_www_BakshyRMA12,WWW,NOURLFOUND
0,-1,conf_www_MaLM13,WWW,NOURLFOUND
2,-1,conf_www_LeskovecLM10,WWW,NOURLFOUND
2,-1,conf_www_Despeyroux04,WWW,NOURLFOUND
5,-1,conf_www_ChakrabartiJPP02,WWW,NOURLFOUND
1,-1,conf_www_AntikaciogluRS15,WWW,NOURLFOUND
1,-1,conf_www_ElenbergSBD16,WWW,NOURLFOUND
3,-1,conf_www_LiK10,WWW,NOURLFOUND
1,-1,conf_www_AggarwalMPP09,WWW,NOURLFOUND
0,-1,conf_www_OttCH12,WWW,NOURLFOUND
2,-1,conf_www_GyselRW16,WWW,NOURLFOUND
1,-1,conf_www_RomeroUK16,WWW,NOURLFOUND
1,-1,conf_www_ArionBMP06,WWW,NOURLFOUND
2,-1,conf_www_KunegisLB09,WWW,NOURLFOUND
0,-1,conf_www_BabaioffNL14,WWW,NOURLFOUND
2,-1,conf_www_ChenCSGZL10,WWW,NOURLFOUND
1,-1,conf_www_WangLZC12,WWW,NOURLFOUND
3,-1,conf_www_KootiAGLM15,WWW,NOURLFOUND
3,-1,conf_www_HannakSKKLMW13,WWW,NOURLFOUND
5,-1,conf_www_BakshyEB14,WWW,NOURLFOUND
0,-1,conf_www_WangMX15,WWW,NOURLFOUND
1,-1,conf_www_QiuLTLYCYH16,WWW,NOURLFOUND
3,-1,conf_www_LeskovecHK10,WWW,NOURLFOUND
5,-1,conf_www_HoSSV15,WWW,NOURLFOUND
2,-1,conf_www_PlangprasopchokL09,WWW,NOURLFOUND
1,-1,conf_www_ChakrabartiP15,WWW,NOURLFOUND
1,-1,conf_www_ChengAKL16,WWW,NOURLFOUND
7,-1,conf_www_SawantC13,WWW,NOURLFOUND
2,-1,conf_www_MartinHSAW16,WWW,NOURLFOUND
5,-1,conf_www_DemaineHMMRSZ14,WWW,NOURLFOUND
8,-1,conf_www_BhaduryCZL16,WWW,NOURLFOUND
1,-1,conf_www_KempeL14,WWW,NOURLFOUND
2,-1,conf_www_AndersonHKL14,WWW,NOURLFOUND
9,-1,conf_www_ShuaiSYLLYC16,WWW,NOURLFOUND
0,-1,conf_www_LermanH10,WWW,NOURLFOUND
4,-1,conf_www_KulkarniAPS15,WWW,NOURLFOUND
5,-1,conf_www_DasguptaG13,WWW,NOURLFOUND
1,-1,conf_www_CastellaS14,WWW,NOURLFOUND
2,-1,conf_www_OiwaTWS09,WWW,NOURLFOUND
2,-1,conf_www_CookSFT12,WWW,NOURLFOUND
3,-1,conf_www_GoelM09,WWW,NOURLFOUND
1,-1,conf_www_LiC14,WWW,NOURLFOUND
1,-1,conf_www_AnQC14,WWW,NOURLFOUND
4,-1,conf_www_Wulczyn0ZL16,WWW,NOURLFOUND
4,-1,conf_www_NarayanWPR04,WWW,NOURLFOUND
1,-1,conf_www_SteegG12,WWW,NOURLFOUND
0,-1,conf_www_LiCLS10,WWW,NOURLFOUND
0,-1,conf_www_BalkanskiH16,WWW,NOURLFOUND
3,-1,conf_www_LiangCMB16,WWW,NOURLFOUND
2,-1,conf_www_KloumannAKW15,WWW,NOURLFOUND
3,-1,conf_www_QuerciaASD15,WWW,NOURLFOUND
4,-1,conf_www_RuanFP13,WWW,NOURLFOUND
1,-1,conf_www_HorelS15,WWW,NOURLFOUND
