paper_id,has_pdf,dataset;method,number_citations,booktitle,pdf_url,year,title,type,authors
conf_ercimdl_IshikawaH07,false,0;3,-1,ECDL,http://dx.doi.org/10.1007/978-3-540-74851-9_20,2007,'T-scroll: visualizing trends in a time-series of documents for interactive user exploration',inproceedings,Yoshiharu Ishikawa;Mikine Hasegawa
conf_ercimdl_KoulourisK05,false,0;2,-1,ECDL,http://dx.doi.org/10.1007/11551362_32,2005,'Policy model for university digital collections',inproceedings,Alexandros Koulouris;Sarantos Kapidakis
conf_ercimdl_Henry04,false,5;16,-1,ECDL,http://dx.doi.org/10.1007/978-3-540-30230-8_38,2004,'Connexions: an alternative approach to publishing',inproceedings,Geneva L. Henry
conf_ercimdl_TansleyBS03,false,9;18,-1,ECDL,http://dx.doi.org/10.1007/978-3-540-45175-4_41,2003,'Dspace as an open archival information system: current status and future directions',inproceedings,Robert Tansley;Mick Bass;MacKenzie Smith
conf_ercimdl_BrodyKHCH03,false,4;6,-1,ECDL,http://dx.doi.org/10.1007/978-3-540-45175-4_20,2003,'Digitometric services for open archives environments',inproceedings,Tim Brody;Simon Kampa;Stevan Harnad;Les Carr;Steve Hitchcock
conf_ercimdl_FalquetJZ04,false,1;3,-1,ECDL,http://dx.doi.org/10.1007/978-3-540-30230-8_10,2004,'Ontology based interfaces to access a library of virtual hyperbooks',inproceedings,Gilles Falquet;Claire-Lise Mottaz Jiang;Jean-Claude Ziswiler
conf_ercimdl_CouncillGIGMP06,false,1;4,-1,ECDL,http://dx.doi.org/10.1007/11863878_10,2006,'Towards next generation citeseer: a flexible architecture for digital library deployment',inproceedings,Isaac G. Councill;C. Lee Giles;Ernesto Di Iorio;Marco Gori;Marco Maggini;Augusto Pucci
conf_ercimdl_BruderIM04,false,2;9,-1,ECDL,http://dx.doi.org/10.1007/978-3-540-30230-8_28,2004,'Knowledge-based scribe recognition in historical music archives',inproceedings,Ilvio Bruder;Temenushka Ignatova;Lars Milewski
conf_ercimdl_Shiri07,false,0;0,-1,ECDL,http://dx.doi.org/10.1007/978-3-540-74851-9_49,2007,'The use of metadata in visual interfaces to digital libraries',inproceedings,Ali Shiri
conf_ercimdl_BouthorsD99,false,6;14,-1,ECDL,http://dx.doi.org/10.1007/3-540-48155-9_15,1999,"'Pharos, a collaborative infrastructure for web knowledge sharing'",inproceedings,Vincent Bouthors;Olivier Dedieu
conf_ercimdl_Suleman07a,false,1;2,-1,ECDL,http://dx.doi.org/10.1007/978-3-540-74851-9_43,2007,'In-browser digital library services',inproceedings,Hussein Suleman
conf_ercimdl_UematsuIFKO08,false,2;6,-1,ECDL,http://dx.doi.org/10.1007/978-3-540-87599-4_33,2008,'Proximity scoring using sentence-based inverted index for practical full-text search',inproceedings,Yukio Uematsu;Takafumi Inoue;Kengo Fujioka;Ryoji Kataoka;Hayato Ohwada
conf_ercimdl_KoutrikaS06,false,1;1,-1,ECDL,http://dx.doi.org/10.1007/11863878_8,2006,'An enhanced search interface for information discovery from digital libraries',inproceedings,Georgia Koutrika;Alkis Simitsis
conf_ercimdl_WeberBS00,false,3;2,-1,ECDL,http://dx.doi.org/10.1007/3-540-45268-0_8,2000,'Interactive-time similarity search for large image collections using parallel va-files',inproceedings,Roger Weber;Klemens Böhm;Hans-Jörg Schek
conf_ercimdl_HollmannAS03,false,0;3,-1,ECDL,http://dx.doi.org/10.1007/978-3-540-45175-4_26,2003,'An evaluation of document prefetching in a distributed digital library',inproceedings,Jochen Hollmann;Anders Ardö;Per Stenström
conf_ercimdl_CheneyLB01,false,1;6,-1,ECDL,http://dx.doi.org/10.1007/3-540-44796-2_29,2001,'Towards a theory of information preservation',inproceedings,James Cheney;Carl Lagoze;Peter Botticelli
conf_ercimdl_WuNK04,false,3;10,-1,ECDL,http://dx.doi.org/10.1007/978-3-540-30230-8_14,2004,'Nlp versus ir approaches to fuzzy name searching in digital libraries',inproceedings,Paul Horng-Jyh Wu;Jin-Cheon Na;Christopher S. G. Khoo
conf_ercimdl_MarazakisPP98,false,4;5,-1,ECDL,http://dx.doi.org/10.1007/3-540-49653-X_6,1998,'A framework for the encapsulation of value-added services in digital objects',inproceedings,Manolis Marazakis;Dimitris Papadakis;Stavros A. Papadakis
conf_ercimdl_CaraccioloHR04,false,2;2,-1,ECDL,http://dx.doi.org/10.1007/978-3-540-30230-8_45,2004,'Towards topic driven access to full text documents',inproceedings,Caterina Caracciolo;Willem Robert van Hage;Maarten de Rijke
conf_ercimdl_JacquinDC10,false,2;2,-1,ECDL,http://dx.doi.org/10.1007/978-3-642-15464-5_76,2010,'Xeproc(c): a model-based approach towards document process preservation',inproceedings,Thierry Jacquin;Hervé Déjean;Jean-Pierre Chanod
conf_ercimdl_Aalberg01,false,7;9,-1,ECDL,http://dx.doi.org/10.1007/3-540-44796-2_14,2001,'Linking information with distributed objects',inproceedings,Trond Aalberg
conf_ercimdl_Benyon98,false,1;2,-1,ECDL,http://dx.doi.org/10.1007/3-540-49653-X_71,1998,'Beyond navigation as metaphor',inproceedings,David Benyon
conf_ercimdl_Lopez09,false,2;3,-1,ECDL,http://dx.doi.org/10.1007/978-3-642-04346-8_62,2009,'Grobid: combining automatic bibliographic data recognition and term extraction for scholarship publications',inproceedings,Patrice Lopez
conf_ercimdl_LiddyCFDHY05,false,1;3,-1,ECDL,http://dx.doi.org/10.1007/11551362_60,2005,'Generating and evaluating automatic metadata for educational resources',inproceedings,Elizabeth D. Liddy;Jiangping Chen;Christina M. Finneran;Anne Diekema;Sarah Harwell;Ozgur Yilmazel
conf_ercimdl_EasonHAM04,false,1;0,-1,ECDL,http://dx.doi.org/10.1007/978-3-540-30230-8_41,2004,'Towards an integrated digital library: exploration of user responses to a 'joined-up' service',inproceedings,Ken D. Eason;Susan Harker;Ann Apps;Ross MacIntyre
conf_ercimdl_CasarosaTAGSL09,false,0;2,-1,ECDL,http://dx.doi.org/10.1007/978-3-642-04346-8_38,2009,"'Dl education in the eu and in the us: where are we?, where are we going?'",inproceedings,Vittore Casarosa;Anna Maria Tammaro;Tatjana Aparac-Jelusic;Stefan Gradmann;Tefko Saracevic;Ron Larsen
conf_ercimdl_McHughK10,false,0;5,-1,ECDL,http://dx.doi.org/10.1007/978-3-642-15464-5_16,2010,'In pursuit of an expressive vocabulary for preserved new media art',inproceedings,Andrew McHugh;Leonidas Konstantelos
conf_ercimdl_BiryukovD10,true,3;4,43,ECDL,http://arxiv.org/pdf/1012.5396v1,2010,'Analysis of computer science communities based on dblp',inproceedings,Maria Biryukov;Cailing Dong
conf_ercimdl_LundH08,false,3;6,-1,ECDL,http://dx.doi.org/10.1007/978-3-540-87599-4_52,2008,'Gaze interaction and access to library collection',inproceedings,Haakon Lund;John Paulin Hansen
conf_ercimdl_MuresanH01,false,2;9,-1,ECDL,http://dx.doi.org/10.1007/3-540-44796-2_37,2001,'Document clustering and language models for system-mediated information access',inproceedings,Gheorghe Muresan;David J. Harper
conf_ercimdl_StrodlMR09,false,1;1,-1,ECDL,http://dx.doi.org/10.1007/978-3-642-04346-8_71,2009,'Hoppla - digital preservation support for small institutions',inproceedings,Stephan Strodl;Florian Motlik;Andreas Rauber
conf_ercimdl_SautterBPT07,false,4;4,-1,ECDL,http://dx.doi.org/10.1007/978-3-540-74851-9_30,2007,'Empirical evaluation of semi-automated xml annotation of text documents with the goldengate editor',inproceedings,Guido Sautter;Klemens Böhm;Frank Padberg;Walter F. Tichy
conf_ercimdl_Abiteboul97,false,3;7,-1,ECDL,http://dx.doi.org/10.1007/BFb0026718,1997,'Object database support for digital libraries',inproceedings,Serge Abiteboul
conf_ercimdl_OkadaTA04,false,3;11,-1,ECDL,http://dx.doi.org/10.1007/978-3-540-30230-8_46,2004,'Bibliographic component extraction using support vector machines and hidden markov models',inproceedings,Takashi Okada;Atsuhiro Takasu;Jun Adachi
conf_ercimdl_NiggemannH01,false,0;0,-1,ECDL,http://dx.doi.org/10.1007/3-540-44796-2_40,2001,"'Open archive initiative, publishers and scientific societies: future of publishing - next generation publishing models'",inproceedings,Elisabeth Niggemann;Matthias Hemmje
conf_ercimdl_YorkWC03,false,1;7,-1,ECDL,http://dx.doi.org/10.1007/978-3-540-45175-4_18,2003,'Structure-aware query for digital libraries: use cases and challenges for the humanities',inproceedings,Christopher York;Clifford E. Wulfman;Gregory R. Crane
conf_ercimdl_StanescuBGSI08,false,0;0,-1,ECDL,http://dx.doi.org/10.1007/978-3-540-87599-4_27,2008,'Access modalities to an imagistic library for medical e-learning',inproceedings,Liana Stanescu;Dumitru Dan Burdescu;Gabriel Mihai;Cosmin Stoica Spahiu;Anca Ion
conf_ercimdl_Strotgen02,false,2;8,-1,ECDL,http://dx.doi.org/10.1007/3-540-45747-X_27,2002,'Meta-data extraction and query translation. treatment of semantic heterogeneity',inproceedings,Robert Strötgen
conf_ercimdl_ShipmanCFFDBCHEG10,false,4;5,-1,ECDL,http://dx.doi.org/10.1007/978-3-642-15464-5_68,2010,'Ensemble: a distributed portal for the distributed community of computing education',inproceedings,Frank M. Shipman III;Lillian N. Cassel;Edward A. Fox;Richard Furuta;Lois M. L. Delcambre;Peter Brusilovsky;B. Stephen Carpenter II;Gregory W. Hislop;Stephen H. Edwards;Daniel D. Garcia
conf_ercimdl_Abramatic99,false,0;0,-1,ECDL,http://dx.doi.org/10.1007/3-540-48155-9_1,1999,'Challenges for the web: universality and scalability (abstract)',inproceedings,Jean-François Abramatic
conf_ercimdl_MatthesS99,false,6;11,-1,ECDL,http://dx.doi.org/10.1007/3-540-48155-9_25,1999,'Pia - a generic model and system for interactive product and service catalogs',inproceedings,Florian Matthes;Ulrike Steffens
conf_ercimdl_KampanyaSKNF04,false,1;11,-1,ECDL,http://dx.doi.org/10.1007/978-3-540-30230-8_12,2004,'Citiviz: a visual user interface to the citidel system',inproceedings,Nithiwat Kampanya;Rao Shen;Seonho Kim;Chris North;Edward A. Fox
conf_ercimdl_VakkariT05,false,6;7,-1,ECDL,http://dx.doi.org/10.1007/11551362_19,2005,'The influence of the scatter of literature on the use of electronic resources across disciplines: a case study of finelib',inproceedings,Pertti Vakkari;Sanna Talja
