paper_id,has_pdf,dataset;method,number_citations,booktitle,pdf_url,year,title,type,authors
conf_acl_GildeaT07,true,0;0,22,ACL,http://aclweb.org/anthology-new/P/P07/P07-1024.pdf,2007,'Optimizing grammars for minimum dependency length',inproceedings,Daniel Gildea;David Temperley
conf_acl_Carbonell83,true,0;0,81,ACL,http://aclweb.org/anthology-new/P/P83/P83-1025.pdf,1983,'Discourse pragmatics and ellipsis resolution in task-oriented natural language interfaces',inproceedings,Jaime G. Carbonell
conf_acl_EhlingZN07,true,0;0,25,ACL,http://aclweb.org/anthology-new/P/P07/P07-2026.pdf,2007,'Minimum bayes risk decoding for bleu',inproceedings,Nicola Ehling;Richard Zens;Hermann Ney
conf_acl_XuCJ02,true,0;0,51,ACL,http://www.aclweb.org/anthology/P02-1025.pdf,2002,'A study on richer syntactic dependencies for structured language modeling',inproceedings,Peng Xu;Ciprian Chelba;Frederick Jelinek
conf_acl_NederhofS02,true,0;0,-1,ACL,http://www.aclweb.org/anthology/P02-1015.pdf,2002,'Parsing non-recursive cfgs',inproceedings,Mark-Jan Nederhof;Giorgio Satta
conf_acl_Pustejovsky87a,true,0;0,-1,ACL,http://aclweb.org/anthology-new/P/P87/P87-1028.pdf,1987,'Lexical selection in the process of language generation sergei nirenburg',inproceedings,James Pustejovsky
conf_acl_Pucher07,true,0;0,11,ACL,http://aclweb.org/anthology-new/P/P07/P07-2033.pdf,2007,'Wordnet-based semantic relatedness measures in automatic speech recognition for meetings',inproceedings,Michael Pucher
conf_acl_KawaharaU07,true,0;0,3,ACL,http://aclweb.org/anthology-new/P/P07/P07-2052.pdf,2007,'Minimally lexicalized dependency parsing',inproceedings,Daisuke Kawahara;Kiyotaka Uchimoto
conf_acl_Tennant81,true,0;0,-1,ACL,http://aclweb.org/anthology-new/P/P81/P81-1010.pdf,1981,'What makes evaluation hard?',inproceedings,Harry R. Tennant
conf_acl_GuindonSC87,true,0;0,-1,ACL,http://aclweb.org/anthology-new/P/P87/P87-1006.pdf,1987,'Grammatical and ungrammatical structures in user-adviser dialogues= evidence for sufficiency of restricted languages in natural language interfaces to advisory systems',inproceedings,Raymonde Guindon;Kelly Shuldberg;Joyce Conner
conf_acl_Wittenburg87,true,0;0,56,ACL,http://aclweb.org/anthology-new/P/P87/P87-1011.pdf,1987,'Predictive combinators: a method for efficient processing of combinatory categorial grammars',inproceedings,Kent Wittenburg
conf_acl_Uszkoreit83,true,0;0,10,ACL,http://aclweb.org/anthology-new/P/P83/P83-1016.pdf,1983,'A framework for processing partially free word order',inproceedings,Hans Uszkoreit
conf_acl_Pullum83,true,0;0,23,ACL,http://aclweb.org/anthology-new/P/P83/P83-1001.pdf,1983,'Context-freeness and the computer processing of human languages',inproceedings,Geoffrey K. Pullum
