paper_id,has_pdf,dataset;method,number_citations,booktitle,pdf_url,year,title,type,authors
conf_esws_GrimnesSB09,false,2;13,-1,ESWC,http://dx.doi.org/10.1007/978-3-642-02121-3_66,2009,'The personal knowledge workbench of the nepomuk semantic desktop',inproceedings,Gunnar Aastrand Grimnes;Leo Sauermann;Ansgar Bernardi
conf_esws_SimperlPB09,false,3;6,-1,ESWC,http://dx.doi.org/10.1007/978-3-642-02121-3_21,2009,'Ontocom revisited: towards accurate cost predictions for ontology development projects',inproceedings,Elena Paslaru Bontas Simperl;Igor O. Popov;Tobias Bürger
conf_esws_AvgoustakiFFP16,false,7;7,-1,ESWC,http://dx.doi.org/10.1007/978-3-319-34129-3_35,2016,'Provenance management for evolving rdf datasets',inproceedings,Argyro Avgoustaki;Giorgos Flouris;Irini Fundulaki;Dimitris Plexousakis
conf_esws_HalpinP09,false,2;19,-1,ESWC,http://dx.doi.org/10.1007/978-3-642-02121-3_39,2009,'An ontology of resources: solving the identity crisis',inproceedings,Harry Halpin;Valentina Presutti
conf_esws_Hasan14,false,2;8,-1,ESWC,http://dx.doi.org/10.1007/978-3-319-07443-6_32,2014,'Generating and summarizing explanations for linked data',inproceedings,Rakebul Hasan
conf_esws_Ashraf12,false,2;4,-1,ESWC,http://dx.doi.org/10.1007/978-3-642-30284-8_62,2012,'A framework for ontology usage analysis',inproceedings,Jamshaid Ashraf
conf_esws_Hartig09,false,2;7,-1,ESWC,http://dx.doi.org/10.1007/978-3-642-02121-3_5,2009,'Querying trust in rdf data with tsparql',inproceedings,Olaf Hartig
conf_esws_PedrinaciCL14,false,6;17,-1,ESWC,http://dx.doi.org/10.1007/978-3-319-07443-6_6,2014,'Linked usdl: a vocabulary for web-scale service trading',inproceedings,Carlos Pedrinaci;Jorge S. Cardoso;Torsten Leidig
conf_esws_Oramas14,false,4;12,-1,ESWC,http://dx.doi.org/10.1007/978-3-319-07443-6_55,2014,'Harvesting and structuring social data in music information retrieval',inproceedings,Sergio Oramas
conf_esws_WangZLTY08,false,2;10,-1,ESWC,http://dx.doi.org/10.1007/978-3-540-68234-9_43,2008,'Q2semantic: a lightweight keyword interface to semantic search',inproceedings,Haofen Wang;Kang Zhang;Qiaoling Liu;Thanh Tran 0001;Yong Yu
