paper_id,has_pdf,dataset;method,number_citations,booktitle,pdf_url,year,title,type,authors
conf_hri_TraftonBFR08,false,0;0,-1,HRI,http://doi.acm.org/10.1145/1349822.1349849,2008,'Integrating vision and audition within a cognitive architecture to track conversations',inproceedings,J. Gregory Trafton;Magdalena D. Bugajska;Benjamin R. Fransen;Raj M. Ratwani
conf_hri_Schmidt-RohrKLD08,false,0;0,-1,HRI,http://doi.acm.org/10.1145/1349822.1349855,2008,'Reasoning for a multi-modal service robot considering uncertainty in human-robot interaction',inproceedings,Sven R. Schmidt-Rohr;Steffen Knoop;Martin Lösch;Rüdiger Dillmann
conf_hri_KruijffKBL06,false,0;0,-1,HRI,http://doi.acm.org/10.1145/1121241.1121307,2006,'Structural descriptions in human-assisted robot visual learning',inproceedings,Geert-Jan M. Kruijff;John D. Kelleher;Gregor Berginc;Ales Leonardis
conf_hri_GlasKI16,false,0;0,-1,HRI,http://dx.doi.org/10.1109/HRI.2016.7451766,2016,'Human-robot interaction design using interaction composer: eight years of lessons learned',inproceedings,Dylan F. Glas;Takayuki Kanda;Hiroshi Ishiguro
conf_hri_WangL08,false,0;0,-1,HRI,http://doi.acm.org/10.1145/1349822.1349825,2008,'Assessing cooperation in human control of heterogeneous robots',inproceedings,Jijun Wang;Michael Lewis 0001
conf_hri_LopezPC16,false,0;0,-1,HRI,http://dx.doi.org/10.1109/HRI.2016.7451812,2016,'Influence of a humanoid robot in human decision-making when using direct & indirect requests',inproceedings,Alexander López;Christian Isaac Peñaloza;Francisco Cuéllar
conf_hri_GutierrezC09,false,0;0,-1,HRI,http://doi.acm.org/10.1145/1514095.1514131,2009,'A native iphone packbot ocu',inproceedings,Rodrigo Gutierrez;Jeff Craighead
conf_hri_LapidesSS08,false,0;0,-1,HRI,http://doi.acm.org/10.1145/1349822.1349867,2008,'Three dimensional tangible user interface for controlling a robotic team',inproceedings,Paul Lapides;Ehud Sharlin;Mario Costa Sousa
conf_hri_LjungbladNN11,false,0;0,-1,HRI,http://doi.acm.org/10.1145/1957656.1957726,2011,'Beyond speculative ethics in hri?: ethical considerations and the relation to empirical data',inproceedings,Sara Ljungblad;Stina Nylander;Mie Nørgaard
conf_hri_KroosHS10,false,0;0,-1,HRI,http://doi.acm.org/10.1145/1734454.1734576,2010,'The articulated head pays attention',inproceedings,Christian Kroos;Damith C. Herath;Stelarc
conf_hri_LemaignanGMHA12,false,0;0,-1,HRI,http://doi.acm.org/10.1145/2157689.2157831,2012,'Roboscopie: a theatre performance for a human and a robot',inproceedings,Séverin Lemaignan;Mamoun Gharbi;Jim Mainprice;Matthieu Herrb;Rachid Alami
conf_hri_Rivera-BautistaRGM10,false,0;0,-1,HRI,http://doi.acm.org/10.1145/1734454.1734527,2010,'Modular control for human motion analysis and classification in human-robot interaction',inproceedings,Juan Alberto Rivera-Bautista;Ana Cristina Ramirez-Hernandez;Virginia A. Garcia-Vega;Antonio Marín-Hernández
conf_hri_WangRERH10,false,0;0,-1,HRI,http://doi.acm.org/10.1145/1734454.1734578,2010,'When in rome: the role of culture & context in adherence to robot recommendations',inproceedings,Lin Wang 0008;Pei-Luen Patrick Rau;Vanessa Evers;Benjamin Krisper Robinson;Pamela J. Hinds
conf_hri_CuellarPL16,false,0;0,-1,HRI,http://dx.doi.org/10.1109/HRI.2016.7451849,2016,'Educational robots as promotors of cultural development',inproceedings,Francisco Fabian Cuéllar;Christian Isaac Peñaloza;José Alexander López
conf_hri_SegallGK06,false,0;0,-1,HRI,http://doi.acm.org/10.1145/1121241.1121288,2006,"'User, robot and automation evaluations in high-throughput biological screening processes'",inproceedings,Noa Segall;Rebecca S. Green;David B. Kaber
conf_hri_DruryKY07,false,0;0,-1,HRI,http://doi.acm.org/10.1145/1228716.1228754,2007,'Lassoing hri: analyzing situation awareness in map-centric and video-centric interfaces',inproceedings,Jill L. Drury;Brenden Keyes;Holly A. Yanco
conf_hri_BekkeringBME08,false,0;0,-1,HRI,http://doi.acm.org/10.1145/1349822.1349875,2008,'Joint action in man and autonomous systems',inproceedings,Harold Bekkering;Estela Bicho;Ruud G. J. Meulenbroek;Wolfram Erlhagen
conf_hri_OkitaNS12,false,0;0,-1,HRI,http://doi.acm.org/10.1145/2157689.2157756,2012,"'Captain may i?: proxemics study examining factors that influence distance between humanoid robots, children, and adults, during human-robot interaction'",inproceedings,Sandra Y. Okita;Victor Ng-Thow-Hing;Ravi Kiran Sarvadevabhatla
conf_hri_KollingNL12,false,0;0,-1,HRI,http://doi.acm.org/10.1145/2157689.2157704,2012,'Towards human control of robot swarms',inproceedings,Andreas Kolling;Steven Nunnally;Michael Lewis 0001
conf_hri_AndristTGM14,false,0;0,-1,HRI,http://doi.acm.org/10.1145/2559636.2559666,2014,'Conversational gaze aversion for humanlike robots',inproceedings,Sean Andrist;Xiang Zhi Tan;Michael Gleicher;Bilge Mutlu
conf_hri_SirkinJ12,false,0;0,-1,HRI,http://doi.acm.org/10.1145/2157689.2157699,2012,'Consistency in physical and on-screen action improves perceptions of telepresence robots',inproceedings,David Sirkin;Wendy Ju
