paper_id,has_pdf,dataset;method,number_citations,booktitle,pdf_url,year,title,type,authors
conf_icarcv_TeohN06,false,0;0,-1,ICARCV,http://dx.doi.org/10.1109/ICARCV.2006.345404,2006,'Biophasor: token supplemented cancellable biometrics',inproceedings,Andrew Beng Jin Teoh;David Chek Ling Ngo
conf_icarcv_ChoH10,false,0;0,-1,ICARCV,http://dx.doi.org/10.1109/ICARCV.2010.5707420,2010,'Map based indoor robot navigation and localization using laser range finder',inproceedings,Shung Han Cho;Sangjin Hong
conf_icarcv_SaskaHS08,false,0;0,-1,ICARCV,http://dx.doi.org/10.1109/ICARCV.2008.4795551,2008,'Route scheduling approach for airport snow shoveling using formations of autonomous ploughs',inproceedings,Martin Saska;Martin Hess;Klaus Schilling
conf_icarcv_WangGPV04,false,0;0,-1,ICARCV,http://dx.doi.org/10.1109/ICARCV.2004.1468857,2004,'Select eigenfaces for face recognition with one training sample per subject',inproceedings,Jie Wang;Yuantao Gu;Konstantinos N. Plataniotis;Anastasios N. Venetsanopoulos
conf_icarcv_SomovSH14,false,0;0,-1,ICARCV,http://dx.doi.org/10.1109/ICARCV.2014.7064458,2014,'Guidance and precise motion control of free-flying robots and land-survey mini-satellites',inproceedings,Yevgeny I. Somov;Victor M. Sukhanov;Cengiz Hacizade
conf_icarcv_Adamo-VillaniB04,false,0;0,-1,ICARCV,http://dx.doi.org/10.1109/ICARCV.2004.1468920,2004,'Keyboard-controlled signing semantroid',inproceedings,Nicoletta Adamo-Villani;Gerardo Beni
conf_icarcv_ZhangHL14,false,0;0,-1,ICARCV,http://dx.doi.org/10.1109/ICARCV.2014.7064424,2014,'Comparison of two strategies of path planning for underwater robot navigation under uncertainty',inproceedings,Teng Zhang;Shoudong Huang;Dikai Liu
conf_icarcv_XieMH04,false,0;0,-1,ICARCV,http://dx.doi.org/10.1109/ICARCV.2004.1469492,2004,'Performance evaluation of production lines subject to time and operation dependent failures using petri nets',inproceedings,Xiaolan Xie;Iyad Mourani;Sophie Hennequin
conf_icarcv_HeLDWZ14,false,0;0,-1,ICARCV,http://dx.doi.org/10.1109/ICARCV.2014.7064606,2014,'Measurement of relative pose between two non-cooperative spacecrafts based on graph cut theory',inproceedings,Ying He;Bin Liang;Xiaodong Du;Xueqian Wang;Di Zhang
conf_icarcv_LiuZCH12,false,0;0,-1,ICARCV,http://dx.doi.org/10.1109/ICARCV.2012.6485167,2012,'Safe diagnosability of fuzzy discrete-event systems',inproceedings,Fuchun Liu;Qiansheng Zhang;Xuesong Chen;Renwei Huang
