paper_id,has_pdf,dataset;method,number_citations,booktitle,pdf_url,year,title,type,authors
conf_icse_EichbergKKM08,false,8;8,-1,ICSE,http://doi.acm.org/10.1145/1368088.1368142,2008,'Defining and continuous checking of structural program dependencies',inproceedings,Michael Eichberg;Sven Kloppenburg;Karl Klose;Mira Mezini
conf_icse_FlemingKSXD08,false,1;2,-1,ICSE,http://doi.acm.org/10.1145/1368088.1368195,2008,'A study of student strategies for the corrective maintenance of concurrent software',inproceedings,Scott D. Fleming;Eileen Kraemer;R. E. Kurt Stirewalt;Shaohua Xie;Laura K. Dillon
conf_icse_Xue11,false,1;6,-1,ICSE,http://doi.acm.org/10.1145/1985793.1986009,2011,'Reengineering legacy software products into software product line based on automatic variability analysis',inproceedings,Yinxing Xue
conf_icse_BrueggeD97,false,9;9,-1,ICSE,http://doi.acm.org/10.1145/253228.253286,1997,'Communication metrics for software development',inproceedings,Bernd Brügge;Allen H. Dutoit
conf_icse_Kelly87,false,4;5,-1,ICSE,http://dl.acm.org/citation.cfm?id=41789,1987,'A comparison of four design methods for real-time systems',inproceedings,J. C. Kelly
conf_icse_Bauer82,false,0;5,-1,ICSE,http://dl.acm.org/citation.cfm?id=807750,1982,'From specifications to machine code: program construction through formal reasoning',inproceedings,Friedrich L. Bauer
conf_icse_Petschenik85,false,1;5,-1,ICSE,http://dl.acm.org/citation.cfm?id=319622,1985,'Building awareness of system testing issues',inproceedings,Nathan H. Petschenik
conf_icse_StoreyWM97,false,0;2,-1,ICSE,http://doi.acm.org/10.1145/253228.253496,1997,'Rigi: a visualization environment for reverse engineering',inproceedings,Margaret-Anne D. Storey;Kenny Wong;Hausi A. Müller
conf_icse_Curtis00,false,3;12,-1,ICSE,http://doi.acm.org/10.1145/337180.337375,2000,'From mcc and cmm: technology transfers bright and dim',inproceedings,Bill Curtis
conf_icse_SchmerlGDBC11,false,10;29,-1,ICSE,http://doi.acm.org/10.1145/1985793.1985883,2011,'Sorascs: a case study in soa-based platform design for socio-cultural analysis',inproceedings,Bradley R. Schmerl;David Garlan;Vishal Dwivedi;Michael W. Bigrigg;Kathleen M. Carley
conf_icse_Niere02,false,0;1,-1,ICSE,http://doi.acm.org/10.1145/581339.581473,2002,'Fuzzy logic based interactive recovery of software design',inproceedings,Jörg Niere
conf_icse_BlausteinOB02,false,0;0,-1,ICSE,http://doi.acm.org/10.1145/581339.581458,2002,'Observing timed systems by means of message sequence chart graphs',inproceedings,Sebastián Blaustein;Fernando Oliveto;Víctor A. Braberman
conf_icse_ZhangE14,false,6;9,-1,ICSE,http://doi.acm.org/10.1145/2568225.2568251,2014,'Which configuration option should i change?',inproceedings,Sai Zhang;Michael D. Ernst
conf_icse_RemusZ79,false,1;3,-1,ICSE,http://dl.acm.org/citation.cfm?id=802957,1979,'Prediction and management of program quality',inproceedings,Horst Remus;Stephen N. Zilles
conf_icse_StrooperW06,false,1;0,-1,ICSE,http://doi.acm.org/10.1145/1134513,2006,'Testing concurrent java components',inproceedings,Paul A. Strooper;Luke Wildman
conf_icse_ChungFM05,false,1;0,-1,ICSE,http://doi.acm.org/10.1145/1062455.1062621,2005,'Models and processes for the evaluation of off-the-shelf components - mpec'05',inproceedings,Lawrence Chung;Xavier Franch;Neil A. M. Maiden
conf_icse_StrouliaS11,false,0;0,-1,ICSE,http://doi.acm.org/10.1145/1985793.1986048,2011,'Third international workshop on software engineering in healthcare: (sehc 2011)',inproceedings,Eleni Stroulia;Kevin Sullivan
conf_icse_Pisan00,false,1;2,-1,ICSE,http://doi.acm.org/10.1145/337180.337190,2000,'Extending requirement specifications using analogy',inproceedings,Yusuf Pisan
conf_icse_BurmesterGHST05,false,2;3,-1,ICSE,http://doi.acm.org/10.1145/1062455.1062601,2005,"'The fujaba real-time tool suite: model-driven development of safety-critical, real-time systems'",inproceedings,Sven Burmester;Holger Giese;Martin Hirsch;Daniela Schilling;Matthias Tichy
conf_icse_BeckerBGKS06,false,7;3,-1,ICSE,http://doi.acm.org/10.1145/1134297,2006,'Symbolic invariant verification for systems with dynamic structural adaptation',inproceedings,Basil Becker;Dirk Beyer 0001;Holger Giese;Florian Klein;Daniela Schilling
conf_icse_BasiliR87,false,2;6,-1,ICSE,http://dl.acm.org/citation.cfm?id=41804,1987,'Tailoring the software process to project goals and environments',inproceedings,Victor R. Basili;H. Dieter Rombach
conf_icse_LieberherrLM00,false,0;0,-1,ICSE,http://doi.acm.org/10.1145/337180.337838,2000,'Building modular object-oriented systems with reusable collaborations (tutorial session)',inproceedings,Karl J. Lieberherr;David H. Lorenz;Mira Mezini
conf_icse_CamposE78,false,0;3,-1,ICSE,http://dl.acm.org/citation.cfm?id=803215,1978,"'Concurrent software system design, supported by sara at the age of one'",inproceedings,Ivan M. Campos;Gerald Estrin
conf_icse_FurusawaCW06,false,0;4,-1,ICSE,http://doi.acm.org/10.1145/1134372,2006,'Efficiency analysis of model-based review in actual software design',inproceedings,Hitoshi Furusawa;Eun-Hye Choi;Hiroshi Watanabe
conf_icse_AvgeriouLK11,false,1;2,-1,ICSE,http://doi.acm.org/10.1145/1985793.1986055,2011,'Workshop on sharing and reusing architectural knowledge: (shark 2011)',inproceedings,Paris Avgeriou;Patricia Lago;Philippe Kruchten
conf_icse_PalanqueP00,false,0;4,-1,ICSE,http://doi.acm.org/10.1145/337180.337824,2000,"'Design, specification, and verification of interactive systems (workshop session)'",inproceedings,Philippe A. Palanque;Fabio Paternò
conf_icse_NakagawaH89,false,0;0,-1,ICSE,http://doi.acm.org/10.1145/74587.74618,1989,'An error complexity model for software reliability measurement',inproceedings,Yutaka Nakagawa;Shuetsu Hanata
conf_icse_SillittiSV11,false,3;5,-1,ICSE,http://doi.acm.org/10.1145/1985793.1985917,2011,'Toward a better understanding of tool usage',inproceedings,Alberto Sillitti;Giancarlo Succi;Jelena Vlasenko
conf_icse_AugustinBS02,false,1;3,-1,ICSE,http://doi.acm.org/10.1145/581339.581409,2002,'Accelerating software development through collaboration',inproceedings,Larry Augustin;Dan Bressler;Guy Smith
conf_icse_Horn00,false,0;0,-1,ICSE,http://doi.acm.org/10.1145/337180.337183,2000,'Dot com versus bricks and mortar - the impact of portal technology (abstract of invited presentation)',inproceedings,Chris Horn
conf_icse_DiehlGPH06,false,2;0,-1,ICSE,http://doi.acm.org/10.1145/1134483,2006,'Msr 2006: the 3rd international workshop on mining software repositories',inproceedings,Stephan Diehl 0001;Harald C. Gall;Martin Pinzger;Ahmed E. Hassan
conf_icse_Hansen01,false,0;0,-1,ICSE,http://doi.acm.org/10.1145/74587.74641,1989,'Modeling the software engineering process',inproceedings,Gregory A. Hansen
conf_icse_Tai84,false,3;0,-1,ICSE,http://dl.acm.org/citation.cfm?id=801976,1984,'A program complexity metric based on data flow information in control graphs',inproceedings,Kuo-Chung Tai
conf_icse_LiuLY06,false,3;6,-1,ICSE,http://doi.acm.org/10.1145/1134466,2006,'Xml conceptual modeling with xuml',inproceedings,HongXing Liu;YanSheng Lu;Qing Yang
conf_icse_Glynn90,false,0;8,-1,ICSE,http://dl.acm.org/citation.cfm?id=100346,1990,'Semi formal process model for technology transfer',inproceedings,Garth Glynn
