paper_id,has_pdf,dataset;method,number_citations,booktitle,pdf_url,year,title,type,authors
conf_icsr_CaballeroS02,false,0;0,-1,ICSR,http://dx.doi.org/10.1007/3-540-46020-9_21,2002,'Towards the formalization of a reusability framework for refactoring',inproceedings,Rodrigo E. Caballero;Steven A. Demurjian
conf_icsr_GamezF11,false,0;0,-1,ICSR,http://dx.doi.org/10.1007/978-3-642-21347-2_9,2011,'Software product line evolution with cardinality-based feature models',inproceedings,Nadia Gámez;Lidia Fuentes
conf_icsr_Baxter02,false,0;0,-1,ICSR,http://dx.doi.org/10.1007/3-540-46020-9_33,2002,"'Transformation systems: generative reuse for software generation, maintenance and reengineering'",inproceedings,Ira D. Baxter
conf_icsr_TiihonenRMM16,false,0;0,-1,ICSR,http://dx.doi.org/10.1007/978-3-319-35122-3_4,2016,'Carrying ideas from knowledge-based configuration to software product lines',inproceedings,Juha Tiihonen;Mikko Raatikainen;Varvana Myllärniemi;Tomi Männistö
conf_icsr_AtkinsonM02a,false,0;0,-1,ICSR,http://dx.doi.org/10.1007/3-540-46020-9_34,2002,'Component-based product-line engineering with the uml',inproceedings,Colin Atkinson;Dirk Muthig
conf_icsr_KimB00,false,0;0,-1,ICSR,http://dx.doi.org/10.1007/978-3-540-44995-9_19,2000,'A method to recover design patterns using software product metrics',inproceedings,Hyoseob Kim;Cornelia Boldyreff
conf_icsr_WuYPQZ11,false,0;0,-1,ICSR,http://dx.doi.org/10.1007/978-3-642-21347-2_10,2011,'Recovering object-oriented framework for software product line reengineering',inproceedings,Yijian Wu;Yiming Yang;Xin Peng;Cheng Qiu;Wenyun Zhao
conf_icsr_FontAHC16,false,0;0,-1,ICSR,http://dx.doi.org/10.1007/978-3-319-35122-3_3,2016,'Feature location in model-based software product lines through a genetic algorithm',inproceedings,Jaime Font;Lorena Arcega;Øystein Haugen;Carlos Cetina
conf_icsr_AtkinsonBHS08,false,0;0,-1,ICSR,http://dx.doi.org/10.1007/978-3-540-68073-4_6,2008,'A trustable brokerage solution for component and service markets',inproceedings,Colin Atkinson;Daniel Brenner;Oliver Hummel;Dietmar Stoll
conf_icsr_Jonge02,false,0;0,-1,ICSR,http://dx.doi.org/10.1007/3-540-46020-9_2,2002,'Source tree composition',inproceedings,Merijn de Jonge
conf_icsr_GasparicJSS15,false,0;0,-1,ICSR,http://dx.doi.org/10.1007/978-3-319-14130-5_12,2015,'An analysis of a project reuse approach in an industrial setting',inproceedings,Marko Gasparic;Andrea Janes;Alberto Sillitti;Giancarlo Succi
conf_icsr_ArisS08,false,0;0,-1,ICSR,http://dx.doi.org/10.1007/978-3-540-68073-4_30,2008,'Refinement of component model standards and conventions',inproceedings,Hazleen Aris;Siti Salwah Salim
conf_icsr_TranZD08,false,0;0,-1,ICSR,http://dx.doi.org/10.1007/978-3-540-68073-4_23,2008,'View-based reverse engineering approach for enhancing model interoperability and reusability in process-driven soas',inproceedings,Huy Tran;Uwe Zdun;Schahram Dustdar
conf_icsr_Alonso02,false,0;0,-1,ICSR,http://dx.doi.org/10.1007/3-540-46020-9_13,2002,'Generation of text search applications for databases. an exercise on domain engineering',inproceedings,Omar Alonso
