paper_id,has_pdf,dataset;method,number_citations,booktitle,pdf_url,year,title,type,authors
conf_jcdl_HinzeBCD16,false,6;4,-1,JCDL,http://doi.acm.org/10.1145/2910896.2910910,2016,'Low-cost semantic enhancement to digital library metadata and indexing: simple yet effective strategies',inproceedings,Annika Hinze;David Bainbridge;Sally Jo Cunningham;J. Stephen Downie
conf_jcdl_MelucciO02,false,0;0,-1,JCDL,http://doi.acm.org/10.1145/544220.544294,2002,'Evaluating automatic melody segmentation aimed at music information retrieval',inproceedings,Massimo Melucci;Nicola Orio
conf_jcdl_McMartinIMWM06,false,3;6,-1,JCDL,http://doi.acm.org/10.1145/1141753.1141808,2006,'Factors motivating use of digital libraries',inproceedings,Flora P. McMartin;Ellen R. Iverson;Cathryn Manduca;Alan J. Wolf;Glenda Morgan
conf_jcdl_PomerantzWOYF08,false,0;0,-1,JCDL,http://doi.acm.org/10.1145/1378889.1379007,2008,'Evaluation of a curriculum for digital libraries',inproceedings,Jeffrey Pomerantz;Barbara M. Wildemuth;Sanghee Oh;Seungwon Yang;Edward A. Fox
conf_jcdl_PopescuSM08,false,2;4,-1,JCDL,http://doi.acm.org/10.1145/1378889.1378979,2008,'See the world with themexplorer',inproceedings,Adrian Popescu 0001;Sofiane Souidi;Pierre-Alain Moëllic
conf_jcdl_MischoSN13,false,3;0,-1,JCDL,http://doi.acm.org/10.1145/2467696.2467784,2013,'Modeling search assistance mechanisms within web-scale discovery systems',inproceedings,William H. Mischo;Mary C. Schlembach;Michael A. Norman
conf_jcdl_KrowneMGWH07,false,2;2,-1,JCDL,http://doi.acm.org/10.1145/1255175.1255286,2007,'The cyberinfrastructure for scholars project: componentized architecture for sustainable scholarly portals',inproceedings,Aaron Krowne;Stacey Martin;Urvashi Gadi;Micah Wedemeyer;Martin Halbert
conf_jcdl_UrrutyHVGJ08,false,1;0,-1,JCDL,http://doi.acm.org/10.1145/1378889.1379017,2008,'A cluster-based simulation of facet-based search',inproceedings,Thierry Urruty;Frank Hopfgartner;Robert Villa;Nicholas Gildea;Joemon M. Jose
conf_jcdl_Chidlovskii02,false,2;2,-1,JCDL,http://doi.acm.org/10.1145/544220.544288,2002,'Schema extraction from xml collections',inproceedings,Boris Chidlovskii
conf_jcdl_LagozeAGHIKMPSTHMAGK02,false,6;16,-1,JCDL,http://doi.acm.org/10.1145/544220.544264,2002,'Core services in the architecture of the national science digital library (nsdl)',inproceedings,Carl Lagoze;William Y. Arms;Stoney Gan;Diane Hillmann;Christopher Ingram;Dean B. Krafft;Richard J. Marisa;Jon Phipps;John Saylor;Carol Terrizzi;Walter Hoehn;David Millman;James Allan;Sergio Guzman-Lara;Tom Kalt
conf_jcdl_XieCF15,false,2;1,-1,JCDL,http://doi.acm.org/10.1145/2756406.2756955,2015,'Using transactional web archives to handle server errors',inproceedings,Zhiwu Xie;Prashant Chandrasekar;Edward A. Fox
conf_jcdl_BahraniK13,false,0;2,-1,JCDL,http://doi.acm.org/10.1145/2467696.2467741,2013,'Multimodal alignment of scholarly documents and their presentations',inproceedings,Bamdad Bahrani;Min-Yen Kan
conf_jcdl_BogenSAK15,false,0;2,-1,JCDL,http://doi.acm.org/10.1145/2756406.2756975,2015,'Organizational strategies for cultural heritage preservation',inproceedings,Paul Logasa Bogen II;Katherine Skinner;Piotr Adamczyk;Unmil Karadkar
conf_jcdl_MaloneyJ04,false,0;0,-1,JCDL,http://doi.acm.org/10.1145/996350.996467,2004,'Scholars portal: beyond simple metasearch',inproceedings,Krisellen Maloney;John R. James
conf_jcdl_NelsonB05,false,1;2,-1,JCDL,http://doi.acm.org/10.1145/1065385.1065496,2005,"'If you harvest arxiv.org, will they come?'",inproceedings,Michael L. Nelson;Johan Bollen
conf_jcdl_KnyazevaKTT15,false,1;3,-1,JCDL,http://doi.acm.org/10.1145/2756406.2756973,2015,'An instrument for merging of bibliographic databases',inproceedings,Anna A. Knyazeva;Oleg S. Kolobov;Fjodor E. Tatarsky;Igor Yu. Turchanovsky
conf_jcdl_BruderIM04,false,0;0,-1,JCDL,http://doi.acm.org/10.1145/996350.996463,2004,'Integrating knowledge components for writer identification in a digital archive of historical music scores',inproceedings,Ilvio Bruder;Temenushka Ignatova;Lars Milewski
conf_jcdl_YanL07,false,12;18,-1,JCDL,http://doi.acm.org/10.1145/1255175.1255221,2007,'Toward alternative measures for ranking venues: a case of database research community',inproceedings,Su Yan;Dongwon Lee
conf_jcdl_QinZC04,false,2;10,-1,JCDL,http://doi.acm.org/10.1145/996350.996383,2004,'Building domain-specific web collections for scientific digital libraries: a meta-search enhanced focused crawling method',inproceedings,Jialun Qin;Yilu Zhou;Michael Chau
conf_jcdl_McCownN08a,false,0;7,-1,JCDL,http://doi.acm.org/10.1145/1378889.1378955,2008,'Usage analysis of a public website reconstruction tool',inproceedings,Frank McCown;Michael L. Nelson
conf_jcdl_TorresMAKR04,false,10;11,-1,JCDL,http://doi.acm.org/10.1145/996350.996402,2004,'Enhancing digital libraries with techlens+',inproceedings,Roberto Torres;Sean M. McNee;Mara Abel;Joseph A. Konstan;John Riedl
conf_jcdl_GelernterL08,false,0;0,-1,JCDL,http://doi.acm.org/10.1145/1378889.1378997,2008,'Creating a searchable map library via data mining',inproceedings,Judith Gelernter;Michael Lesk
conf_jcdl_Reese05,false,3;7,-1,JCDL,http://doi.acm.org/10.1145/1065385.1065498,2005,'Building lite-weight ead repositories',inproceedings,Terry Reese
conf_jcdl_CapraM08,false,1;2,-1,JCDL,http://doi.acm.org/10.1145/1378889.1378967,2008,'The relation browser tool for faceted exploratory search',inproceedings,Robert G. Capra;Gary Marchionini
conf_jcdl_SpiroWHBBGD06,false,4;4,-1,JCDL,http://doi.acm.org/10.1145/1141753.1141784,2006,'Enabling exploration: travelers in the middle east archive',inproceedings,Lisa M. Spiro;Marie Wise;Geneva L. Henry;Chuck Bearden;Sidney Byrd;Eva Garza;Michael Decker
conf_jcdl_AbbasNS02,false,3;10,-1,JCDL,http://doi.acm.org/10.1145/544220.544239,2002,'Middle school children's use of the artemis digital library',inproceedings,June M. Abbas;Cathleen A. Norris;Elliot Soloway
conf_jcdl_RauberM01,false,0;0,-1,JCDL,http://doi.acm.org/10.1145/379437.379439,2001,'Integrating automatic genre analysis into digital libraries',inproceedings,Andreas Rauber;Alexander Müller-Kögler
conf_jcdl_ColemanBJ05,false,2;2,-1,JCDL,http://doi.acm.org/10.1145/1065385.1065475,2005,'Impact: the last frontier in digital library evaluation',inproceedings,Anita Coleman;Laura M. Bartolo;Casey Jones
conf_jcdl_SmithCA04,false,0;0,-1,JCDL,http://doi.acm.org/10.1145/996350.996484,2004,'Mobile image capture and management',inproceedings,Michael A. Smith;Andy Choi;Serge Aublant
conf_jcdl_PetinotGBTH04,false,1;4,-1,JCDL,http://doi.acm.org/10.1145/996350.996437,2004,'Enabling interoperability for autonomous digital libraries: an api to citeseer services',inproceedings,Yves Petinot;C. Lee Giles;Vivek Bhatnagar;Pradeep B. Teregowda;Hui Han
conf_jcdl_BeelLGM13,false,0;5,-1,JCDL,http://doi.acm.org/10.1145/2467696.2467789,2013,'Docear's pdf inspector: title extraction from pdf files',inproceedings,Jöran Beel;Stefan Langer;Marcel Genzmehr;Christoph Müller 0004
conf_jcdl_SchererLS13,false,0;0,-1,JCDL,http://doi.acm.org/10.1145/2467696.2467705,2013,'Visual-interactive querying for multivariate research data repositories using bag-of-words',inproceedings,Maximilian Scherer;Tatiana von Landesberger;Tobias Schreck
