paper_id,has_pdf,dataset;method,number_citations,booktitle,pdf_url,year,title,type,authors
conf_sigir_RaveendranC12,false,1;5,-1,SIGIR,http://doi.acm.org/10.1145/2348283.2348490,2012,'Lightweight contrastive summarization for news comment mining',inproceedings,Gobaan Raveendran;Charles L. A. Clarke
conf_sigir_RuotsaloPEGRJMK15,false,2;1,-1,SIGIR,http://doi.acm.org/10.1145/2766462.2767863,2015,'Scinet: interactive intent modeling for information discovery',inproceedings,Tuukka Ruotsalo;Jaakko Peltonen;Manuel J. A. Eugster;Dorota Glowacka;Aki Reijonen;Giulio Jacucci;Petri Myllymäki;Samuel Kaski
conf_sigir_AgostiM92,false,0;0,-1,SIGIR,http://doi.acm.org/10.1145/133160.133207,1992,'Design of an opac database to permit different subject searching accesses in a multi-disciplines universities library catalogue database',inproceedings,Maristella Agosti;Maurizio Masotti
conf_sigir_HanSR06,false,5;11,-1,SIGIR,http://doi.acm.org/10.1145/1148170.1148210,2006,'Probabilistic model for definitional question answering',inproceedings,Kyoung-Soo Han;Young-In Song;Hae-Chang Rim
conf_sigir_Collins-ThompsonC04,false,0;2,-1,SIGIR,http://doi.acm.org/10.1145/1008992.1009112,2004,'Information retrieval for language tutoring: an overview of the reap project',inproceedings,Kevyn Collins-Thompson;Jamie Callan
conf_sigir_PalottiGZH16,false,0;1,-1,SIGIR,http://doi.acm.org/10.1145/2911451.2914741,2016,'Ranking health web pages with relevance and understandability',inproceedings,João R. M. Palotti;Lorraine Goeuriot;Guido Zuccon;Allan Hanbury
conf_sigir_IwayamaT95,false,1;0,-1,SIGIR,http://doi.acm.org/10.1145/215206.215371,1995,'Cluster-based text categorization: a comparison of category search strategies',inproceedings,Makoto Iwayama;Takenobu Tokunaga
conf_sigir_GuyLDB15,false,2;3,-1,SIGIR,http://doi.acm.org/10.1145/2766462.2767746,2015,'Islands in the stream: a study of item recommendation within an enterprise social stream',inproceedings,Ido Guy;Roy Levin;Tal Daniel;Ella Bolshinsky
conf_sigir_ArampatzisH01,false,4;5,-1,SIGIR,http://doi.acm.org/10.1145/383952.384009,2001,'The score-distributional threshold optimization for adaptive binary classification tasks',inproceedings,Avi Arampatzis;André van Hameren
conf_sigir_MoffatZ92,false,0;1,-1,SIGIR,http://doi.acm.org/10.1145/133160.133210,1992,'Parameterised compression for sparse bitmaps',inproceedings,Alistair Moffat;Justin Zobel
conf_sigir_Ogilvie04,false,0;0,-1,SIGIR,http://doi.acm.org/10.1145/1008992.1009151,2004,'Understanding combination of evidence using generative probabilistic models for information retrieval (abstract only)',inproceedings,Paul Ogilvie
conf_sigir_AzmanO04,false,1;2,-1,SIGIR,http://doi.acm.org/10.1145/1008992.1009075,2004,'Discovery of aggregate usage profiles based on clustering information needs',inproceedings,Azreen Azman;Iadh Ounis
conf_sigir_WhitingMJ11,false,0;1,-1,SIGIR,http://doi.acm.org/10.1145/2009916.2010141,2011,'Exploring term temporality for pseudo-relevance feedback',inproceedings,Stewart Whiting;Yashar Moshfeghi;Joemon M. Jose
conf_sigir_BelkinKKKLMTYC03,false,1;2,-1,SIGIR,http://doi.acm.org/10.1145/860435.860474,2003,'Query length in interactive information retrieval',inproceedings,Nicholas J. Belkin;Diane Kelly 0001;G. Kim;Ja-Young Kim;Hyuk-Jin Lee;Gheorghe Muresan;Muh-Chyun (Morris) Tang;Xiao-Jun Yuan;Colleen Cool
conf_sigir_ChenALC13,false,4;9,-1,SIGIR,http://doi.acm.org/10.1145/2484028.2484057,2013,'Emerging topic detection for organizations from microblogs',inproceedings,Yan Chen;Hadi Amiri;Zhoujun Li;Tat-Seng Chua
conf_sigir_DaiD10a,false,1;1,-1,SIGIR,http://doi.acm.org/10.1145/1835449.1835658,2010,'Capturing page freshness for web search',inproceedings,Na Dai;Brian D. Davison 0001
conf_sigir_Fuhr92,false,2;2,-1,SIGIR,http://doi.acm.org/10.1145/133160.133202,1992,'Integration of probabilistic fact and text retrieval',inproceedings,Norbert Fuhr
conf_sigir_RobertsonK12a,false,1;2,-1,SIGIR,http://doi.acm.org/10.1145/2348283.2348498,2012,'On real-time ad-hoc retrieval evaluation',inproceedings,Stephen E. Robertson;Evangelos Kanoulas
conf_sigir_Nallapati04,false,4;6,-1,SIGIR,http://doi.acm.org/10.1145/1008992.1009006,2004,'Discriminative models for information retrieval',inproceedings,Ramesh Nallapati
conf_sigir_WangP11,false,4;5,-1,SIGIR,http://doi.acm.org/10.1145/2009916.2010190,2011,'Review of msr-bing web scale speller challenge',inproceedings,Kuansan Wang;Jan Pedersen
conf_sigir_YangMSM10,false,7;9,-1,SIGIR,http://doi.acm.org/10.1145/1835449.1835526,2010,'Collecting high quality overlapping labels at low cost',inproceedings,Hui Yang 0001;Anton Mityagin;Krysta Marie Svore;Sergey Markov
conf_sigir_DingC00,false,0;0,-1,SIGIR,http://doi.acm.org/10.1145/345508.345663,2000,'Towards an adaptive and task-specific ranking mechanism in web searching',inproceedings,Chen (Cherie) Ding;Chi-Hung Chi
conf_sigir_FreiW91,false,0;0,-1,SIGIR,http://doi.acm.org/10.1145/122860.122871,1991,'Retrieval algorithm effectiveness in a wide area network information filter',inproceedings,Hans-Peter Frei;M. F. Wyle
conf_sigir_GilesPTHLRP03,false,2;5,-1,SIGIR,http://doi.acm.org/10.1145/860435.860527,2003,'Ebizsearch: a niche search engine for e-business',inproceedings,C. Lee Giles;Yves Petinot;Pradeep B. Teregowda;Hui Han;Steve Lawrence;Arvind Rangaswamy;Nirmal Pal
conf_sigir_BlondelSU11,false,2;3,-1,SIGIR,http://doi.acm.org/10.1145/2009916.2010080,2011,'Tackling class imbalance and data scarcity in literature-based gene function annotation',inproceedings,Mathieu Blondel;Kazuhiro Seki;Kuniaki Uehara
conf_sigir_YapR01,false,1;3,-1,SIGIR,http://doi.acm.org/10.1145/383952.384071,2001,'Automatic information extraction from web pages',inproceedings,Roland H. C. Yap;Budi Rahardjo
conf_sigir_MarquesL12,false,0;1,-1,SIGIR,http://doi.acm.org/10.1145/2348283.2348538,2012,'Visual information retrieval using java and lire',inproceedings,Oge Marques;Mathias Lux
conf_sigir_KampsMRS03,false,1;2,-1,SIGIR,http://doi.acm.org/10.1145/860435.860525,2003,'Xml retrieval: what to retrieve?',inproceedings,Jaap Kamps;Maarten Marx;Maarten de Rijke;Börkur Sigurbjörnsson
conf_sigir_PaiG14,false,0;0,-1,SIGIR,http://doi.acm.org/10.1145/2600428.2611180,2014,'Real-time visualization and targeting of online visitors',inproceedings,Deepak Pai;Sandeep Zechariah George
conf_sigir_LiZZL06,false,2;4,-1,SIGIR,http://doi.acm.org/10.1145/1148170.1148309,2006,'A comparative study of the effect of search feature design on user experience in digital libraries (dls)',inproceedings,Yuelin Li;Xiangmin Zhang;Ying Zhang;Jingjing Liu
conf_sigir_NikkuniT81,false,3;5,-1,SIGIR,http://doi.acm.org/10.1145/511754.511771,1981,'Document contents representation model of sentence retrieval system scat-ir',inproceedings,Michiyo Nikkuni;Hajime Tanaka
