paper_id,has_pdf,dataset;method,number_citations,booktitle,pdf_url,year,title,type,authors
conf_ercimdl_BraslavskiPLG16,false,0;0,-1,TPDL,http://dx.doi.org/10.1007/978-3-319-43997-6_32,2016,'Ten months of digital reading: an exploratory log study',inproceedings,Pavel Braslavski;Vivien Petras;Valery Likhosherstov;Maria Gäde
conf_ercimdl_RathodC12,false,0;0,-1,TPDL,http://dx.doi.org/10.1007/978-3-642-33290-6_38,2012,'Machine learning in building a collection of computer science course syllabi',inproceedings,Nakul Rathod;Lillian N. Cassel
conf_ercimdl_AutereV11,false,0;0,-1,TPDL,http://dx.doi.org/10.1007/978-3-642-24469-8_8,2011,'Towards cross-organizational interoperability: the lido xml schema as a national level integration tool for the national digital library of finland',inproceedings,Riitta Autere;Mikael Vakkari
conf_ercimdl_RahmanDR12,false,0;0,-1,TPDL,http://dx.doi.org/10.1007/978-3-642-33290-6_58,2012,'Siard archive browser',inproceedings,Arif Ur Rahman;Gabriel David;Cristina Ribeiro 0001
conf_ercimdl_Lee12,false,0;0,-1,TPDL,http://dx.doi.org/10.1007/978-3-642-33290-6_5,2012,'Toward mobile-friendly libraries: the status quo',inproceedings,Dongwon Lee
conf_ercimdl_OdijkRPPRS12,false,0;0,-1,TPDL,http://dx.doi.org/10.1007/978-3-642-33290-6_24,2012,'Semantic document selection - historical research on collections that span multiple centuries',inproceedings,Daan Odijk;Ork de Rooij;Maria-Hendrike Peetz;Toine Pieters;Maarten de Rijke;Stephen Snelders
conf_ercimdl_KapidakisMP12,false,0;0,-1,TPDL,http://dx.doi.org/10.1007/978-3-642-33290-6_48,2012,'Query expansion of zero-hit subject searches: using a thesaurus in conjunction with nlp techniques',inproceedings,Sarantos Kapidakis;Anna Mastora;Manolis Peponakis
conf_ercimdl_BrahajRS12,false,0;0,-1,TPDL,http://dx.doi.org/10.1007/978-3-642-33290-6_29,2012,'Ontological formalization of scientific experiments based on core scientific metadata model',inproceedings,Armand Brahaj;Matthias Razum;Frank Schwichtenberg
conf_ercimdl_SchererLS13,false,0;0,-1,TPDL,http://dx.doi.org/10.1007/978-3-642-40501-3_39,2013,'Topic modeling for search and exploration in multivariate research data repositories',inproceedings,Maximilian Scherer;Tatiana von Landesberger;Tobias Schreck
conf_ercimdl_SompelNKS13,false,0;0,-1,TPDL,http://dx.doi.org/10.1007/978-3-642-40501-3_70,2013,'Resourcesync: the niso/oai resource synchronization framework',inproceedings,Herbert Van de Sompel;Michael L. Nelson;Martin Klein;Robert Sanderson
