paper_id,has_pdf,dataset;method,number_citations,booktitle,pdf_url,year,title,type,authors
conf_trec_LiuWHZ07,true,1;11,0,TREC,http://trec.nist.gov/pubs/trec16/papers/cas.blog.final.pdf,2007,Nlpr in trec 2007 blog track,inproceedings,Kang Liu;Gen Wang;Xianpei Han;Jun Zhao 0001
conf_trec_AmatiABGG08,true,1;1,0,TREC,http://trec.nist.gov/pubs/trec17/papers/fondazione.blog.pdf,2008,"Fub, iasi-cnr and university of tor vergata at trec 2008 blog track",inproceedings,Giambattista Amati;Giuseppe Amodeo;Marco Bianchi 0001;Carlo Gaibisso;Giorgio Gambosi
conf_trec_AronsonHIKLMSTWXDL04,true,12;12,0,TREC,http://trec.nist.gov/pubs/trec13/papers/nlm-umd-ul.geo.pdf,2004,Knowledge-intensive and statistical approaches to the retrieval and annotation of genomics medline citations,inproceedings,Alan R. Aronson;Susanne M. Humphrey;Nicholas C. Ide;Won Kim;Russell F. Loane;James G. Mork;Lawrence H. Smith;Lorraine K. Tanabe;W. John Wilbur;Natalie Xie;Dina Demner-Fushman;Hongfang Liu
conf_trec_YiA07,true,3;5,0,TREC,http://trec.nist.gov/pubs/trec16/papers/umass.mq.final.pdf,2007,Indri at trec 2007: million query (1mq) track,inproceedings,Xing Yi;James Allan
conf_trec_LoseySR15,true,13;34,0,TREC,http://trec.nist.gov/pubs/trec24/papers/eDiscoveryTeam-TR.pdf,2015,E-discovery team at trec 2015 total recall track,inproceedings,Ralph Losey;Jim Sullivan;Tony Reichenberger
conf_trec_JiangYZN10,true,1;2,0,TREC,http://trec.nist.gov/pubs/trec19/papers/beijing.inst.tech.blog.REV.pdf,2010,Bit at trec 2010 blog track: faceted blog distillation,inproceedings,Peng Jiang;Qing Yang 0004;Chunxia Zhang;Zhendong Niu
conf_trec_CulottaLCBS10,true,0;0,0,TREC,http://trec.nist.gov/pubs/trec19/papers/it.com.legal.pdf,2010,It-discovery at trec 2010 legal,inproceedings,Aron Culotta;Andy Liu;Mark Cordover;Bennett Borden;Sam Strickland
conf_trec_WangH11,true,11;8,0,TREC,http://trec.nist.gov/pubs/trec20/papers/FDUMED.microblog.pdf,2011,Microblog track 2011 of fdu,inproceedings,Bingqing Wang;Xuanjing Huang
conf_trec_BrillLBDN01,true,3;4,0,TREC,http://trec.nist.gov/pubs/trec10/papers/Trec2001Notebook.AskMSRFinal.pdf,2001,Data-intensive question answering,inproceedings,Eric Brill;Jimmy J. Lin;Michele Banko;Susan T. Dumais;Andrew Y. Ng
conf_trec_ZhaoYSY14,true,2;4,0,TREC,http://trec.nist.gov/pubs/trec23/papers/pro-BJUT_ts.pdf,2014,Bjut at trec 2014 temporal summarization track,inproceedings,Yun Zhao;Fei Yao;Huayang Sun;Zhen Yang
