paper_id,has_pdf,dataset;method,number_citations,booktitle,pdf_url,year,title,type,authors
conf_www_JinSS08,false,2;3,-1,WWW,http://doi.acm.org/10.1145/1367497.1367731,2008,'Generating hypotheses from the web',inproceedings,Wei Jin;Rohini K. Srihari;Abhishek Singh
conf_www_BartonO10,false,5;12,-1,WWW,http://doi.acm.org/10.1145/1772690.1772700,2010,'Dynamic and graphical web page breakpoints',inproceedings,John J. Barton;Jan Odvarko
conf_www_JakobssonS06,false,2;10,-1,WWW,http://doi.acm.org/10.1145/1135777.1135854,2006,'Invasive browser sniffing and countermeasures',inproceedings,Markus Jakobsson;Sid Stamm
conf_www_GibbinsHS03,false,1;6,-1,WWW,http://doi.acm.org/10.1145/775152.775251,2003,'Agent-based semantic web services',inproceedings,Nicholas Gibbins;Stephen Harris;Nigel Shadbolt
conf_www_ChenFGJRW07,false,8;16,-1,WWW,http://doi.acm.org/10.1145/1242572.1242579,2007,'Geotracker: geospatial and temporal rss navigation',inproceedings,Yih-Farn Robin Chen;Giuseppe Di Fabbrizio;David C. Gibbon;Rittwik Jana;Serban Jora;Bernard Renger;Bin Wei
conf_www_NagarajanSAKMU07,false,1;2,-1,WWW,http://doi.acm.org/10.1145/1242572.1242778,2007,'Altering document term vectors for classification: ontologies as expectations of co-occurrence',inproceedings,Meenakshi Nagarajan;Amit P. Sheth;Marcos Kawazoe Aguilera;Kimberly Keeton;Arif Merchant;Mustafa Uysal
conf_www_CalzavaraTBO14,false,6;6,-1,WWW,http://doi.acm.org/10.1145/2566486.2568047,2014,'Quite a mess in my cookie jar!: leveraging machine learning to protect web authentication',inproceedings,Stefano Calzavara;Gabriele Tolomei;Michele Bugliesi;Salvatore Orlando
conf_www_KrishnamurthyMW10,false,14;15,-1,WWW,http://doi.acm.org/10.1145/1772690.1772747,2010,'Fine-grained privilege separation for web applications',inproceedings,Akshay Krishnamurthy;Adrian Mettler;David Wagner
conf_www_LiZF14,false,4;7,-1,WWW,http://doi.acm.org/10.1145/2566486.2568033,2014,'The wisdom of minority: discovering and targeting the right group of workers for crowdsourcing',inproceedings,Hongwei Li;Bo Zhao;Ariel Fuxman
conf_www_BrownBFMA06,false,3;10,-1,WWW,http://doi.acm.org/10.1145/1135777.1135827,2006,'Reappraising cognitive styles in adaptive web applications',inproceedings,Elizabeth J. Brown;Tim J. Brailsford;Tony Fisher;Adam Moore;Helen Ashman
conf_www_LeeBKLS14,false,4;8,-1,WWW,http://doi.acm.org/10.1145/2566486.2567970,2014,'Local collaborative ranking',inproceedings,Joonseok Lee;Samy Bengio;Seungyeon Kim;Guy Lebanon;Yoram Singer
conf_www_AntonellisGC08,false,1;2,-1,WWW,http://doi.acm.org/10.1145/1367497.1367714,2008,'Simrank++: query rewriting through link analysis of the clickgraph (poster)',inproceedings,Ioannis Antonellis;Hector Garcia-Molina;Chi-Chao Chang
